Survey,Wave,Country Numeric,Country ISO3,Region Numeric,Region Name,country,countrycode,countrycode_alpha2,adm_level,adm_area_1,adm_area_1_code,adm_area_2,adm_area_2_code,adm_area_3,adm_area_3_code,gid
WVS,2010-2014,156,CHN,156015,CN: Henan Province,China,CHN,CN,1,Henan,CHN.12_1,,,,,CHN.12_1
WVS,2010-2014,156,CHN,156016,CN: Hubei Province,China,CHN,CN,1,Hubei,CHN.13_1,,,,,CHN.13_1
WVS,2010-2014,156,CHN,156017,CN: Hunan Province,China,CHN,CN,1,Hunan,CHN.14_1,,,,,CHN.14_1
WVS,2010-2014,156,CHN,156018,CN: Guangdong Province,China,CHN,CN,1,Guangdong,CHN.6_1,,,,,CHN.6_1
WVS,2010-2014,156,CHN,156019,CN: Guangxi Province,China,CHN,CN,1,Guangxi,CHN.7_1,,,,,CHN.7_1
WVS,2010-2014,156,CHN,156020,CN: Sichuan,China,CHN,CN,1,Sichuan,CHN.26_1,,,,,CHN.26_1
WVS,2010-2014,156,CHN,156021,CN: Guizhou Province,China,CHN,CN,1,Guizhou,CHN.8_1,,,,,CHN.8_1
WVS,2010-2014,156,CHN,156024,CN: Shaannxi Province,China,CHN,CN,1,Shaanxi,CHN.22_1,,,,,CHN.22_1
WVS,2010-2014,156,CHN,156032,CN: Chongqing,China,CHN,CN,1,Chongqing,CHN.3_1,,,,,CHN.3_1
WVS,2010-2014,156,CHN,156033,CN: Gansu,China,CHN,CN,1,Gansu,CHN.5_1,,,,,CHN.5_1
WVS,2010-2014,156,CHN,156034,CN: Qinghai,China,CHN,CN,1,Qinghai,CHN.21_1,,,,,CHN.21_1
,,,,,,,,,,,,,,,,
WVS,2010-2014,356,IND,356001,IN: Andhra Pradesh,India,IND,IN,1,Andhra Pradesh,IND.2_1,,,,,IND.2_1
WVS,2010-2014,356,IND,356003,IN: Bihar,India,IND,IN,1,Bihar,IND.5_1,,,,,IND.5_1
WVS,2010-2014,356,IND,356004,IN: Chhatisgarh,India,IND,IN,1,Chhattisgarh,IND.7_1,,,,,IND.7_1
WVS,2010-2014,356,IND,356005,IN: Delhi,India,IND,IN,1,NCT of Delhi,IND.25_1,,,,,IND.25_1
WVS,2010-2014,356,IND,356006,IN: Gujarat,India,IND,IN,1,Gujarat,IND.11_1,,,,,IND.11_1
WVS,2010-2014,356,IND,356007,IN: Haryana,India,IND,IN,1,Haryana,IND.12_1,,,,,IND.12_1
WVS,2010-2014,356,IND,356008,IN: Jharkhand,India,IND,IN,1,Jharkhand,IND.15_1,,,,,IND.15_1
WVS,2010-2014,356,IND,356009,IN: Karnataka,India,IND,IN,1,Karnataka,IND.16_1,,,,,IND.16_1
WVS,2010-2014,356,IND,356010,IN: Kerala,India,IND,IN,1,Kerala,IND.17_1,,,,,IND.17_1
WVS,2010-2014,356,IND,356011,IN: Madhya Pradesh,India,IND,IN,1,Madhya Pradesh,IND.19_1,,,,,IND.19_1
WVS,2010-2014,356,IND,356012,IN: Maharashtra,India,IND,IN,1,Maharashtra,IND.20_1,,,,,IND.20_1
WVS,2010-2014,356,IND,356013,IN: Orrisa,India,IND,IN,1,Odisha,IND.26_1,,,,,IND.26_1
WVS,2010-2014,356,IND,356014,IN: Punjab,India,IND,IN,1,Punjab,IND.28_1,,,,,IND.28_1
WVS,2010-2014,356,IND,356015,IN: Rajasthan,India,IND,IN,1,Rajasthan,IND.29_1,,,,,IND.29_1
WVS,2010-2014,356,IND,356017,IN: Uttar Pradesh,India,IND,IN,1,Uttar Pradesh,IND.34_1,,,,,IND.34_1
WVS,2010-2014,356,IND,356018,IN: West Bengal,India,IND,IN,1,West Bengal,IND.36_1,,,,,IND.36_1
WVS,2010-2014,356,IND,356019,IN: Uttarakhand,India,IND,IN,1,Uttarakhand,IND.35_1,,,,,IND.35_1
,,,,,,,,,,,,,,,,
WVS,2010-2014,76,BRA,76038,BR: Amazonas,Brazil,BRA,BR,1,Amazonas,BRA.4_1,,,,,BRA.4_1
WVS,2010-2014,76,BRA,76039,BR: Pará,Brazil,BRA,BR,1,Pará,BRA.14_1,,,,,BRA.14_1
WVS,2010-2014,76,BRA,76040,BR: Rondônia,Brazil,BRA,BR,1,Rondônia,BRA.22_1,,,,,BRA.22_1
WVS,2010-2014,76,BRA,76041,BR: Alagoas,Brazil,BRA,BR,1,Alagoas,BRA.2_1,,,,,BRA.2_1
