Survey,Wave,Country Numeric,Country ISO3,Region Numeric,Region Name,NUTS1,NUTS2,NUTS3,gid
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNC,GB-GBNC1,-5,GBR.1.75_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNC,GB-GBNC1,-5,GBR.1.94_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNC,GB-GBNC2,-5,GBR.1.34_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNC,GB-GBNC2,-5,GBR.1.58_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNC,GB-GBNC2,-5,GBR.1.62_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNC,GB-GBNC2,-5,GBR.1.65_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNC,GB-GBNC2,-5,GBR.1.89_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNC,GB-GBNC2,-5,GBR.1.97_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND1,-5,GBR.1.22_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND2,-5,GBR.1.18_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND2,-5,GBR.1.19_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND2,-5,GBR.1.37_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND2,-5,GBR.1.107_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND3,-5,GBR.1.7_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND3,-5,GBR.1.14_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND3,-5,GBR.1.54_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND3,-5,GBR.1.68_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND3,-5,GBR.1.76_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND3,-5,GBR.1.80_1
