Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Upper middle income,UMC,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
World,WLD,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.05947733656065,2017.0
World,WLD,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,66293131726931.6,2017.0
World,WLD,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Afghanistan,AFG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0
Afghanistan,AFG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,16916992771.6571,2017.0
Afghanistan,AFG,GDP per capita (current LCU),NY.GDP.PCAP.CN,37680.8181245105,2018.0
Albania,ALB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.58516866109728,2017.0
Albania,ALB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,11795973483.1559,2017.0
Albania,ALB,GDP per capita (current LCU),NY.GDP.PCAP.CN,568978.734820554,2018.0
Algeria,DZA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.712167276023351,2017.0
Algeria,DZA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,134832633155.502,2017.0
Algeria,DZA,GDP per capita (current LCU),NY.GDP.PCAP.CN,479750.26492224,2018.0
American Samoa,ASM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0
American Samoa,ASM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NaN,1960.0
American Samoa,ASM,GDP per capita (current LCU),NY.GDP.PCAP.CN,11466.6907058505,2018.0
Andorra,AND,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0
Andorra,AND,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NaN,1960.0
Andorra,AND,GDP per capita (current LCU),NY.GDP.PCAP.CN,35607.6149910397,2018.0
Angola,AGO,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-0.31026931486067605,2017.0
Angola,AGO,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,64054513749.1511,2017.0
Angola,AGO,GDP per capita (current LCU),NY.GDP.PCAP.CN,867898.297948553,2018.0
Antigua and Barbuda,ATG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0
Antigua and Barbuda,ATG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NaN,1960.0
Antigua and Barbuda,ATG,GDP per capita (current LCU),NY.GDP.PCAP.CN,45162.848181459405,2018.0
Argentina,ARG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.66876884332071,2017.0
Argentina,ARG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,544653785578.1,2017.0
Argentina,ARG,GDP per capita (current LCU),NY.GDP.PCAP.CN,328260.56461987103,2018.0
Armenia,ARM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,10.1328496793909,2017.0
Armenia,ARM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,10047924327.4671,2017.0
Armenia,ARM,GDP per capita (current LCU),NY.GDP.PCAP.CN,2034388.14462886,2018.0
Aruba,ABW,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0
