GEO,UNIT,ISCO08\TIME	2015	2016	2017	2018
SI04,P_HTHAB,OC221	325.86	354.95	374.81	377.06
SK,P_HTHAB,OC221	345.13	347.35	342.11	352.10
SK01,P_HTHAB,OC221	666.37	655.75	635.40	643.60
SK02,P_HTHAB,OC221	263.27	263.56	264.21	268.43
SK03,P_HTHAB,OC221	316.74	327.88	326.79	332.75
SK04,P_HTHAB,OC221	336.54	336.84	325.76	344.59
SE,P_HTHAB,OC221	417.37	423.18	426.52	:
SE11,P_HTHAB,OC221	475.04	477.95	478.90	:
SE12,P_HTHAB,OC221	423.69	433.91	441.65	:
SE21,P_HTHAB,OC221	363.86	368.26	370.89	:
SE22,P_HTHAB,OC221	421.43	430.12	431.79	:
SE23,P_HTHAB,OC221	405.67	410.81	415.10	:
SE31,P_HTHAB,OC221	346.22	346.61	349.40	:
SE32,P_HTHAB,OC221	367.02	376.92	370.39	:
SE33,P_HTHAB,OC221	420.30	425.81	433.89	:
UK,P_HTHAB,OC221	277.11	278.20	281.10	284.05
IS,P_HTHAB,OC221	377.55	385.17	387.30	389.26
IS00,P_HTHAB,OC221	377.55	385.17	387.30	389.26
LI,P_HTHAB,OC221	320.05	328.77	363.52	352.98
LI00,P_HTHAB,OC221	320.05	328.77	363.52	352.98
NO,P_HTHAB,OC221	440.35	451.22	465.85	480.77
NO01,P_HTHAB,OC221	522.43	529.57	543.89	560.59
NO02,P_HTHAB,OC221	386.35	400.32	417.60	425.96
NO03,P_HTHAB,OC221	378.39	389.23	399.78	410.83
NO04,P_HTHAB,OC221	375.50	383.91	394.17	405.47
NO05,P_HTHAB,OC221	433.68	446.39	463.55	479.87
NO06,P_HTHAB,OC221	446.11	455.06	469.92	491.76
NO07,P_HTHAB,OC221	505.36	525.07	547.68	564.96
CH,P_HTHAB,OC221	419.71	425.06	429.78	433.86
CH01,P_HTHAB,OC221	483.50	485.20	489.12	494.50
CH02,P_HTHAB,OC221	376.78	381.60	388.53	381.10
CH03,P_HTHAB,OC221	449.00	451.54	452.12	475.39
CH04,P_HTHAB,OC221	510.99	520.78	522.54	524.51
CH05,P_HTHAB,OC221	338.37	342.55	349.31	349.83
CH06,P_HTHAB,OC221	304.29	309.23	314.70	318.20
CH07,P_HTHAB,OC221	408.94	425.59	436.67	452.58
ME,P_HTHAB,OC221	235.63	255.34	265.11	276.41
ME00,P_HTHAB,OC221	235.63	255.34	265.11	276.41
MK,P_HTHAB,OC221	288.62	299.64	299.78	:
MK00,P_HTHAB,OC221	288.66	299.68	299.81	:
RS,P_HTHAB,OC221	307.81	295.44	295.88	298.23
RS11,P_HTHAB,OC221	:	:	364.70	364.57
RS12,P_HTHAB,OC221	:	:	264.06	267.58
RS21,P_HTHAB,OC221	:	:	262.01	264.70
RS22,P_HTHAB,OC221	:	:	301.89	304.50
TR,P_HTHAB,OC221	180.60	182.68	186.77	188.10
TR10,P_HTHAB,OC221	198.36	216.45	205.78	219.64
TR21,P_HTHAB,OC221	163.56	169.67	168.43	173.92
TR22,P_HTHAB,OC221	148.20	149.06	156.06	161.26
