GEO,SEX,AGE,UNIT\TIME	2014	2015	2016	2017	2018
PL91,T,Y_LT1,YR	79.3	79.2	79.5	79.3	79.1
PL92,T,Y_LT1,YR	76.8	76.8	77.0	76.8	76.8
PT,T,Y_LT1,YR	81.3	81.3	81.3	81.6	81.5
PT1,T,Y_LT1,YR	81.5	81.4	81.5	81.7	81.7
PT11,T,Y_LT1,YR	81.7	81.7	81.7	82.0	82.0
PT15,T,Y_LT1,YR	80.9	80.8	80.3	80.3	80.3
PT16,T,Y_LT1,YR	81.5	81.5	81.5	81.6	81.8
PT17,T,Y_LT1,YR	81.7	81.6	81.7	82.0	81.7
PT18,T,Y_LT1,YR	80.8	80.2	80.2	80.8	80.8
PT2,T,Y_LT1,YR	77.5	77.8	77.6	78.5	78.1
PT20,T,Y_LT1,YR	77.5	77.8	77.6	78.5	78.1
PT3,T,Y_LT1,YR	77.4	78.3	78.5	79.0	78.7
PT30,T,Y_LT1,YR	77.4	78.3	78.5	79.0	78.7
RO,T,Y_LT1,YR	75.0	75.0	75.3	75.3	75.3
RO1,T,Y_LT1,YR	75.1	75.0	75.6	75.6	75.4
RO11,T,Y_LT1,YR	74.8	74.6	75.3	75.2	75.2
RO12,T,Y_LT1,YR	75.5	75.5	75.8	76.0	75.8
RO2,T,Y_LT1,YR	74.3	74.5	74.5	74.6	74.2
RO21,T,Y_LT1,YR	74.3	74.3	74.6	74.6	74.1
RO22,T,Y_LT1,YR	74.2	74.7	74.4	74.7	74.5
RO3,T,Y_LT1,YR	75.7	75.8	75.8	75.9	76.0
RO31,T,Y_LT1,YR	75.0	75.1	75.1	75.2	75.3
RO32,T,Y_LT1,YR	76.7	76.7	76.7	76.8	76.9
RO4,T,Y_LT1,YR	74.7	74.8	75.5	75.2	75.8
RO41,T,Y_LT1,YR	74.8	75.0	75.7	75.6	76.1
RO42,T,Y_LT1,YR	74.6	74.5	75.2	74.8	75.4
SI,T,Y_LT1,YR	81.2	80.9	81.2	81.2	81.5
SI0,T,Y_LT1,YR	81.2	80.9	81.2	81.2	81.5
SI03,T,Y_LT1,YR	80.3	79.8	80.2	80.3	80.5
SI04,T,Y_LT1,YR	82.4	82.3	82.6	82.3	82.7
SK,T,Y_LT1,YR	77.0	76.7	77.3	77.3	77.4
SK0,T,Y_LT1,YR	77.0	76.7	77.3	77.3	77.4
SK01,T,Y_LT1,YR	78.7	78.5	78.9	78.6	78.8
SK02,T,Y_LT1,YR	76.9	76.9	77.2	77.2	77.4
SK03,T,Y_LT1,YR	76.8	76.3	77.0	77.1	77.1
SK04,T,Y_LT1,YR	76.6	76.3	77.2	77.2	77.2
FI,T,Y_LT1,YR	81.3	81.6	81.5	81.7	81.8
FI1,T,Y_LT1,YR	81.3	81.6	81.5	81.7	81.8
FI19,T,Y_LT1,YR	81.4	81.8	81.7	81.8	82.0
FI1B,T,Y_LT1,YR	81.8	81.9	82.0	82.3	82.5
FI1C,T,Y_LT1,YR	81.1	81.5	81.3	81.5	81.5
FI1D,T,Y_LT1,YR	80.7	81.1	81.0	81.1	81.1
FI2,T,Y_LT1,YR	83.0	82.5	80.9	84.0	83.4
FI20,T,Y_LT1,YR	83.0	82.5	80.9	84.0	83.4
SE,T,Y_LT1,YR	82.3	82.2	82.4	82.5	82.6
SE1,T,Y_LT1,YR	82.6	82.6	82.6	82.8	82.8
SE11,T,Y_LT1,YR	82.7	82.7	82.9	83.1	83.0
SE12,T,Y_LT1,YR	82.5	82.4	82.3	82.4	82.5
SE2,T,Y_LT1,YR	82.4	82.4	82.5	82.5	82.6
SE21,T,Y_LT1,YR	82.7	82.4	82.7	82.6	82.8
SE22,T,Y_LT1,YR	82.2	82.4	82.4	82.4	82.5
SE23,T,Y_LT1,YR	82.4	82.5	82.4	82.5	82.7
SE3,T,Y_LT1,YR	81.5	81.2	81.8	81.9	82.0
SE31,T,Y_LT1,YR	81.7	81.2	81.8	82.0	82.2
SE32,T,Y_LT1,YR	81.1	80.9	81.7	81.4	82.0
SE33,T,Y_LT1,YR	81.5	81.4	81.8	81.9	81.7
UK,T,Y_LT1,YR	81.4	81.0	81.2	81.3	81.3
UKC,T,Y_LT1,YR	79.8	79.7	79.9	80.0	79.8
UKC1,T,Y_LT1,YR	79.6	79.6	79.6	79.8	79.8
UKC2,T,Y_LT1,YR	79.9	79.9	80.1	80.2	79.9
UKD,T,Y_LT1,YR	80.2	80.0	80.0	80.2	80.3
UKD1,T,Y_LT1,YR	81.3	81.4	81.0	81.4	81.6
UKD3,T,Y_LT1,YR	79.7	79.5	79.7	79.7	80.0
UKD4,T,Y_LT1,YR	80.1	79.8	80.0	79.9	79.9
UKD6,T,Y_LT1,YR	81.7	81.5	81.5	81.9	81.9
UKD7,T,Y_LT1,YR	79.7	79.4	79.3	79.8	79.6
UKE,T,Y_LT1,YR	80.8	80.5	80.7	80.7	80.6
UKE1,T,Y_LT1,YR	80.8	80.4	80.5	80.2	80.8
UKE2,T,Y_LT1,YR	82.6	82.4	82.5	82.5	82.3
UKE3,T,Y_LT1,YR	80.4	80.0	80.5	80.5	80.2
UKE4,T,Y_LT1,YR	80.4	80.0	80.3	80.4	80.1
UKF,T,Y_LT1,YR	81.4	81.0	81.3	81.3	81.2
UKF1,T,Y_LT1,YR	80.9	80.6	81.1	81.0	80.9
UKF2,T,Y_LT1,YR	81.8	81.4	81.6	81.7	81.5
UKF3,T,Y_LT1,YR	82.0	81.2	81.4	81.1	81.0
UKG,T,Y_LT1,YR	81.0	80.7	80.9	81.0	80.8
UKG1,T,Y_LT1,YR	82.1	81.8	81.9	82.1	81.9
