GEO/AGE,TOTAL,Y65-69,Y70-74,Y_GE75
UKG2,"1,626,956.00","94,241.00","94,427.00","154,459.00"
UKG3,"2,928,377.00","122,171.00","113,964.00","217,488.00"
UKH,"6,235,410.00","327,510.00","333,854.00","569,928.00"
UKH1,"2,521,676.00","146,292.00","151,037.00","255,238.00"
UKH2,"1,871,847.00","84,114.00","81,326.00","146,973.00"
UKH3,"1,841,887.00","97,104.00","101,491.00","167,717.00"
UKI,"8,982,256.00","310,961.00","269,713.00","487,447.00"
UKI3,"1,190,513.00","41,202.00","36,501.00","62,386.00"
UKI4,"2,430,890.00","63,507.00","49,159.00","86,409.00"
UKI5,"1,940,638.00","69,848.00","62,868.00","117,593.00"
UKI6,"1,316,772.00","53,358.00","49,727.00","89,866.00"
UKI7,"2,103,443.00","83,046.00","71,458.00","131,193.00"
UKJ,"9,175,033.00","469,747.00","478,848.00","830,684.00"
UKJ1,"2,417,428.00","111,815.00","107,588.00","188,088.00"
UKJ2,"2,909,838.00","154,838.00","161,043.00","291,145.00"
UKJ3,"1,993,050.00","105,337.00","109,340.00","187,400.00"
UKJ4,"1,854,717.00","97,757.00","100,877.00","164,051.00"
UKK,"5,616,381.00","330,663.00","336,297.00","573,964.00"
UKK1,"2,516,568.00","129,644.00","128,423.00","223,161.00"
UKK2,"1,336,003.00","86,714.00","89,379.00","156,512.00"
UKK3,"568,612.00","38,717.00","40,247.00","62,137.00"
UKK4,"1,195,198.00","75,588.00","78,248.00","132,154.00"
UKL,"3,136,383.00","182,517.00","177,145.00","300,592.00"
UKL1,"1,968,383.00","119,050.00","116,534.00","196,837.00"
UKL2,"1,168,000.00","63,467.00","60,611.00","103,755.00"
UKM,"5,454,238.00","299,991.00","274,598.00","460,538.00"
UKM5,"495,365.00","25,660.00","22,831.00","37,479.00"
UKM6,"470,990.00","31,157.00","28,641.00","47,799.00"
UKM7,"1,998,699.00","106,568.00","99,447.00","165,880.00"
UKM8,"1,541,998.00","75,886.00","67,096.00","116,403.00"
UKM9,"947,186.00","60,720.00","56,583.00","92,977.00"
UKN,,,,
UKN0,,,,
EFTA,"14,268,108.00","719,687.00","668,800.00","1,165,255.00"
IS,"356,991.00","16,545.00","13,014.00","21,180.00"
IS0,"356,991.00","16,545.00","13,014.00","21,180.00"
IS00,"356,991.00","16,545.00","13,014.00","21,180.00"
LI,"38,378.00","2,142.00","1,879.00","2,840.00"
LI0,"38,378.00","2,142.00","1,879.00","2,840.00"
LI00,"38,378.00","2,142.00","1,879.00","2,840.00"
NO,"5,328,212.00","273,004.00","255,791.00","390,046.00"
NO0,"5,328,212.00","273,004.00","255,791.00","390,046.00"
NO01,"1,305,122.00","54,054.00","52,513.00","77,219.00"
NO02,"386,951.00","24,403.00","23,339.00","36,273.00"
NO03,"1,005,070.00","57,232.00","55,567.00","80,767.00"
NO04,"780,898.00","37,838.00","33,313.00","51,506.00"
NO05,"901,689.00","47,593.00","43,126.00","69,908.00"
NO06,"462,032.00","23,923.00","22,335.00","34,728.00"
NO07,"486,450.00","27,961.00","25,598.00","39,645.00"
CH,"8,544,527.00","427,996.00","398,116.00","751,189.00"
