GEO,UNIT\TIME	2014	2015	2016	2017	2018
DEA41,NR	3 396	3 571	3 728	3 623	3 748
DEA42,NR	3 314	3 488	3 599	3 713	3 807
DEA43,NR	2 790	3 004	3 082	2 995	3 146
DEA44,NR	1 668	1 710	1 667	1 749	1 793
DEA45,NR	3 981	4 330	4 135	4 295	4 321
DEA46,NR	3 644	3 651	3 817	3 758	3 876
DEA47,NR	2 632	2 814	2 731	2 774	2 935
DEA5,NR	42 051	44 860	44 066	44 181	45 409
DEA51,NR	4 385	4 641	4 518	4 526	4 586
DEA52,NR	6 561	7 204	6 889	7 040	7 150
DEA53,NR	2 363	2 549	2 485	2 511	2 610
DEA54,NR	2 061	2 129	2 152	2 036	2 119
DEA55,NR	2 149	2 126	2 142	2 169	2 291
DEA56,NR	4 203	4 405	4 380	4 235	4 447
DEA57,NR	2 914	3 319	3 235	3 304	3 296
DEA58,NR	4 955	5 062	5 031	5 166	5 313
DEA59,NR	1 421	1 497	1 531	1 470	1 553
DEA5A,NR	3 073	3 262	3 303	3 256	3 231
DEA5B,NR	3 323	3 604	3 547	3 578	3 634
DEA5C,NR	4 643	5 062	4 853	4 890	5 179
DEB,NR	44 307	46 777	45 864	47 385	48 299
DEB1,NR	17 548	18 100	18 133	18 477	18 651
DEB11,NR	1 320	1 318	1 313	1 312	1 476
DEB12,NR	1 534	1 605	1 638	1 680	1 639
DEB13,NR	1 536	1 600	1 536	1 598	1 624
DEB14,NR	1 773	1 932	1 901	1 951	1 960
DEB15,NR	1 100	1 200	1 170	1 172	1 248
DEB17,NR	2 354	2 301	2 435	2 455	2 427
DEB18,NR	2 182	2 158	2 232	2 234	2 266
DEB1A,NR	1 544	1 550	1 571	1 562	1 543
DEB1B,NR	2 154	2 311	2 269	2 347	2 352
DEB1C,NR	828	842	854	864	861
DEB1D,NR	1 223	1 283	1 214	1 302	1 255
DEB2,NR	5 643	6 053	5 836	5 975	6 177
DEB21,NR	1 129	1 132	1 142	1 146	1 154
DEB22,NR	1 205	1 350	1 252	1 360	1 429
DEB23,NR	1 100	1 156	1 052	1 116	1 160
DEB24,NR	733	823	836	801	837
DEB25,NR	1 476	1 592	1 554	1 552	1 597
DEB3,NR	21 116	22 624	21 895	22 933	23 471
DEB31,NR	561	579	597	586	612
DEB32,NR	1 124	1 135	1 137	1 181	1 211
DEB33,NR	448	494	476	503	496
DEB34,NR	1 620	1 789	1 753	1 887	1 887
DEB35,NR	1 742	1 875	1 785	1 937	1 946
DEB36,NR	613	653	628	667	692
DEB37,NR	640	634	676	676	705
DEB38,NR	566	588	619	665	621
DEB39,NR	874	922	877	957	983
DEB3A,NR	434	418	426	449	473
DEB3B,NR	1 228	1 323	1 229	1 396	1 325
DEB3C,NR	1 489	1 649	1 603	1 626	1 675
DEB3D,NR	931	965	874	879	950
DEB3E,NR	1 145	1 263	1 227	1 230	1 356
DEB3F,NR	1 107	1 243	1 125	1 213	1 241
DEB3G,NR	877	961	883	907	996
DEB3H,NR	1 143	1 233	1 197	1 259	1 286
DEB3I,NR	1 552	1 674	1 574	1 685	1 709
DEB3J,NR	1 868	2 057	1 936	2 011	2 068
DEB3K,NR	1 154	1 169	1 273	1 219	1 239
DEC,NR	12 529	13 427	12 897	13 275	13 872
DEC0,NR	12 529	13 427	12 897	13 275	13 872
DEC01,NR	4 155	4 480	4 123	4 340	4 442
DEC02,NR	1 234	1 385	1 364	1 341	1 348
DEC03,NR	1 756	1 915	1 855	1 851	2 050
DEC04,NR	2 482	2 592	2 558	2 572	2 769
DEC05,NR	1 791	1 906	1 868	1 978	2 042
DEC06,NR	1 111	1 149	1 129	1 193	1 221
DED,NR	51 159	54 467	53 330	54 689	56 290
DED2,NR	18 971	20 408	19 820	20 355	20 791
DED21,NR	4 995	5 484	5 135	5 359	5 568
DED2C,NR	3 978	4 158	4 204	4 203	4 401
DED2D,NR	3 849	4 064	3 935	4 065	4 091
