GEO,UNIT,FACILITY\TIME	2015	2016	2017	2018
SK,P_HTHAB,HBEDT	574.73	578.40	582.05	569.62
SK01,P_HTHAB,HBEDT	754.26	748.13	741.07	725.71
SK02,P_HTHAB,HBEDT	474.72	472.36	473.06	450.94
SK03,P_HTHAB,HBEDT	583.43	580.84	582.83	579.62
SK04,P_HTHAB,HBEDT	611.03	629.51	640.98	631.93
FI,P_HTHAB,HBEDT	435.33	397.34	328.09	320.66
FI19,P_HTHAB,HBEDT	450.01	403.52	340.68	329.33
FI1B,P_HTHAB,HBEDT	342.41	323.64	289.32	264.35
FI1C,P_HTHAB,HBEDT	443.98	400.14	303.52	311.99
FI1D,P_HTHAB,HBEDT	531.14	483.80	388.07	394.60
FI20,P_HTHAB,HBEDT	262.53	264.62	238.49	202.44
SE,P_HTHAB,HBEDT	243.94	233.89	221.19	213.79
SE11,P_HTHAB,HBEDT	233.12	232.55	216.11	206.78
SE12,P_HTHAB,HBEDT	243.71	233.91	219.81	215.39
SE21,P_HTHAB,HBEDT	269.43	251.73	229.50	224.45
SE22,P_HTHAB,HBEDT	233.35	226.58	221.82	209.72
SE23,P_HTHAB,HBEDT	241.98	223.48	210.64	206.77
SE31,P_HTHAB,HBEDT	237.63	227.36	220.86	209.67
SE32,P_HTHAB,HBEDT	266.90	244.93	242.13	235.53
SE33,P_HTHAB,HBEDT	281.63	274.10	258.83	252.78
UK,P_HTHAB,HBEDT	261.06	257.48	253.70	:
UKL,P_HTHAB,HBEDT	352.63	348.76	343.02	:
UKM,P_HTHAB,HBEDT	401.74	391.50	382.36	:
UKN,P_HTHAB,HBEDT	325.87	317.05	315.18	:
IS,P_HTHAB,HBEDT	311.96	313.32	306.35	287.48
IS00,P_HTHAB,HBEDT	311.96	313.32	306.35	287.48
LI,P_HTHAB,HBEDT	160.03	159.08	239.71	101.97
LI00,P_HTHAB,HBEDT	160.03	159.08	239.71	101.97
NO,P_HTHAB,HBEDT	376.19	368.27	359.98	352.74
NO01,P_HTHAB,HBEDT	383.57	379.10	365.12	363.80
NO02,P_HTHAB,HBEDT	509.50	491.76	495.79	492.90
NO03,P_HTHAB,HBEDT	336.49	327.24	315.07	301.09
NO04,P_HTHAB,HBEDT	316.43	309.41	303.98	298.55
NO05,P_HTHAB,HBEDT	362.13	352.39	346.75	333.64
NO06,P_HTHAB,HBEDT	378.42	373.65	365.03	361.44
NO07,P_HTHAB,HBEDT	449.05	442.29	438.26	430.66
CH,P_HTHAB,HBEDT	473.00	468.80	465.34	462.76
CH01,P_HTHAB,HBEDT	521.42	516.25	512.12	506.11
CH02,P_HTHAB,HBEDT	435.22	429.20	422.96	428.45
CH03,P_HTHAB,HBEDT	549.27	539.70	541.31	538.86
CH04,P_HTHAB,HBEDT	437.11	425.74	427.16	413.38
CH05,P_HTHAB,HBEDT	516.00	522.33	506.94	507.49
CH06,P_HTHAB,HBEDT	327.56	331.75	333.01	333.76
CH07,P_HTHAB,HBEDT	542.21	545.93	552.48	553.28
ME,P_HTHAB,HBEDT	393.15	393.06	386.10	391.31
ME00,P_HTHAB,HBEDT	393.15	393.06	386.10	391.31
MK,P_HTHAB,HBEDT	438.79	437.11	428.01	:
MK00,P_HTHAB,HBEDT	438.86	437.16	428.05	:
RS,P_HTHAB,HBEDT	558.02	559.03	560.86	564.25
RS11,P_HTHAB,HBEDT	:	:	622.60	626.14
RS12,P_HTHAB,HBEDT	:	:	575.63	570.77
RS21,P_HTHAB,HBEDT	:	:	478.43	481.34
RS22,P_HTHAB,HBEDT	:	:	579.39	592.67
TR,P_HTHAB,HBEDT	268.03	274.69	281.23	284.88
TR10,P_HTHAB,HBEDT	234.82	245.23	254.44	261.34
TR21,P_HTHAB,HBEDT	287.34	316.14	316.83	308.68
TR22,P_HTHAB,HBEDT	256.52	254.80	271.09	285.17
TR31,P_HTHAB,HBEDT	276.91	272.19	280.41	278.64
TR32,P_HTHAB,HBEDT	266.16	267.87	277.63	274.52
TR33,P_HTHAB,HBEDT	294.78	303.68	314.64	320.63
TR41,P_HTHAB,HBEDT	275.92	272.80	262.31	277.32
TR42,P_HTHAB,HBEDT	256.47	246.65	237.42	236.09
TR51,P_HTHAB,HBEDT	347.56	354.90	340.71	334.11
TR52,P_HTHAB,HBEDT	294.25	319.48	315.08	332.70
TR61,P_HTHAB,HBEDT	280.56	280.70	311.14	321.00
TR62,P_HTHAB,HBEDT	263.23	259.37	293.54	293.18
TR63,P_HTHAB,HBEDT	222.70	246.77	253.41	258.57
TR71,P_HTHAB,HBEDT	241.78	243.42	260.44	259.63
TR72,P_HTHAB,HBEDT	314.94	323.78	328.90	347.36
TR81,P_HTHAB,HBEDT	317.16	318.99	313.66	321.19
TR82,P_HTHAB,HBEDT	257.08	266.93	270.86	264.93
TR83,P_HTHAB,HBEDT	312.20	311.03	327.02	333.11
TR90,P_HTHAB,HBEDT	316.63	327.88	326.69	326.87
TRA1,P_HTHAB,HBEDT	414.01	380.95	400.07	404.25
TRA2,P_HTHAB,HBEDT	185.08	181.93	188.66	190.03
TRB1,P_HTHAB,HBEDT	380.21	361.10	382.48	389.42
TRB2,P_HTHAB,HBEDT	214.29	232.45	232.82	231.64
TRC1,P_HTHAB,HBEDT	229.90	269.22	274.57	275.19
TRC2,P_HTHAB,HBEDT	217.78	230.97	231.39	232.52
TRC3,P_HTHAB,HBEDT	174.18	185.42	192.18	187.94
